,word1,word2,similarity,path_max,lch_max,wup_max,res_brown_max,jcn_brown_max,lin_brown_max,res_semcor_max,jcn_semcor_max,lin_semcor_max,path_ave,lch_ave,wup_ave,res_brown_ave,jcn_brown_ave,lin_brown_ave,res_semcor_ave,jcn_semcor_ave,lin_semcor_ave
0,access,gateway,3.791666667,0.3333333333333333,2.538973871058276,0.875,7.827032123895868,0.19039374352829713,0.7487712334180497,7.288423034166368,0.22334705684109704,0.7650207913918325,0.10657051282051282,1.1197085527167323,0.25973942208462336,1.438131873141628,0.0674445056882194,0.13578150470157327,1.317131163925546,0.05932606124215329,0.1275034652319721
1,account,explanation,2.0,1.0,3.6375861597263857,1.0,6.809735895446331,1e+300,1.0,6.945478283039537,1e+300,1.0,0.1291681466681467,1.3666476278837147,0.3558053221288516,1.359912132446455,3.3333333333333335e+298,0.17054448281908877,1.580095073637983,3.3333333333333335e+298,0.13627937673829973
2,account,invoice,3.75,1.0,3.6375861597263857,1.0,8.434914652801124,1e+300,1.0,9.686318306964738,1e+300,1.0,0.198969363969364,1.5211845673909647,0.4261437908496732,2.7108590352086126,1e+299,0.3209518567196549,3.2261858056246617,1e+299,0.32848796488305587
3,account,statement,3.681818182,0.5,2.9444389791664407,0.9411764705882353,7.833598135666758,1.6630176812132198,0.9630380155240365,9.46317475565053,4.481420117724569,0.9883472867618703,0.12475076510790797,1.4341033839738389,0.3932000072756375,1.860243162202476,0.11971014117510279,0.23442820681999207,2.1839098402007413,0.13606283132295605,0.2004263990738284
4,acoustic,remedy,1.227272727,0.5,2.9444389791664407,0.9411764705882353,9.19260035449864,0.21834764910825918,0.8005729679503273,9.200810491183038,1e-300,1.8401620982366075e-299,0.2777777777777778,1.845826690498331,0.5232198142414861,4.59630017724932,0.12915849485656675,0.40028648397516364,4.600405245591519,1e-300,9.200810491183038e-300
5,acrylic,cloth,2.739130435,0.5,2.9444389791664407,0.9230769230769231,6.653626483440365,0.18470365056323518,0.7108069869044457,6.937446111342273,1e-300,1.3874892222684544e-299,0.2086247086247086,1.775648339714409,0.5313644688644689,2.640748361199849,0.09317825834947124,0.2822111611942626,2.664889523966257,1e-300,5.329779047932514e-300
6,action,adjustment,2.0,0.3333333333333333,2.538973871058276,0.8571428571428571,4.088770559181942,0.169856968860832,0.5591855232336284,4.100475130173224,0.17902400199040241,0.594841019250732,0.10749005406358345,1.3212998007243568,0.34076805289653583,1.0148718722925496,0.06880282037592812,0.12021083129695914,1.1509266342972775,0.04142988795043252,0.08096473884155238
7,action,entrance,1.583333333,0.3333333333333333,2.538973871058276,0.8571428571428571,3.7341065435196765,0.18781735505235495,0.5837946326403228,4.100475130173224,0.2207607613285387,0.6441848446284459,0.10755269240563359,1.3253069734439145,0.3441945581651464,0.9976559748859207,0.07308228220174044,0.12276739306005878,1.1190991595079376,0.0597624040666224,0.0996451784721732
8,activity,event,4.083333333,0.3333333333333333,2.538973871058276,0.8,4.234788990302387,0.9031852962895448,0.7862499969462713,4.1426067801676725,0.8861910111797847,0.7998070219148057,0.13948863636363637,1.5921704181017458,0.36051055426055423,1.2687295933562972,0.14016238123766456,0.20134224105481188,1.3105620333626373,0.10397209106061489,0.13566045692379067
9,activity,music,2.681818182,0.5,2.9444389791664407,0.9230769230769231,3.143520233107207,0.19320869794920872,0.5484737990397679,3.3825552972316535,0.17620666122415696,0.5438075977075741,0.11021034521034521,1.3299958844269137,0.2921500721500722,0.6066978347256947,0.08103707789683494,0.09090101737955227,0.7339086156436888,0.042095907163120595,0.05296224311822252
